model,brand,year,title_status,mileage,color,state,condition,price,clase
door,ford,2017,clean vehicle,21770.0,black,texas,2 days left,9200,0
pacifica,chrysler,2017,clean vehicle,18375.0,gray,michigan,21 hours left,26500,1
colorado,chevrolet,2017,clean vehicle,14158.0,gray,michigan,2 days left,24802,1
mpv,ford,2017,clean vehicle,30318.0,black,texas,2 days left,7070,0
door,ford,2017,clean vehicle,48086.0,red,south carolina,21 hours left,28500,1
door,cadillac,2017,clean vehicle,26562.0,black,michigan,2 days left,47500,1
explorer,ford,2017,clean vehicle,57611.0,black,south carolina,21 hours left,23500,1
colorado,chevrolet,2017,clean vehicle,47357.0,black,michigan,2 hours left,23505,1
door,ford,2017,clean vehicle,84916.0,white,texas,2 days left,10940,0
f-150,ford,2017,clean vehicle,24521.0,gray,south carolina,21 hours left,32100,1
3500,chevrolet,2018,clean vehicle,16105.0,black,washington,21 hours left,53000,1
mpv,ford,2017,clean vehicle,35888.0,gold,texas,2 days left,6830,0
caravan,dodge,2017,clean vehicle,59537.0,gray,south carolina,21 hours left,11900,0
1500,chevrolet,2017,clean vehicle,55222.0,black,michigan,20 hours left,26414,1
mpv,dodge,2018,clean vehicle,32870.0,gray,florida,17 hours left,4160,0
door,chevrolet,2017,clean vehicle,39687.0,silver,michigan,3 hours left,19405,1
mpv,dodge,2018,clean vehicle,47085.0,silver,florida,17 hours left,5690,0
van,chrysler,2017,clean vehicle,32224.0,silver,south carolina,21 hours left,25900,1
1500,chevrolet,2017,clean vehicle,51293.0,beige,michigan,20 hours left,24005,1
mpv,dodge,2018,clean vehicle,42989.0,gray,florida,17 hours left,5090,0
300,chrysler,2017,clean vehicle,31311.0,gray,arizona,34 minutes,19500,1
1500,chevrolet,2017,clean vehicle,46091.0,white,michigan,2 days left,32012,1
dart,dodge,2016,clean vehicle,49033.0,black,michigan,2 days left,6800,0
mpv,dodge,2018,clean vehicle,33957.0,gray,florida,16 hours left,4260,0
van,dodge,2008,salvage insurance,177948.0,orange,utah,2 days left,0,0
2500,chevrolet,2017,clean vehicle,19845.0,silver,michigan,20 hours left,31802,1
doors,dodge,2018,clean vehicle,38910.0,black,florida,16 hours left,7210,0
door,dodge,2014,salvage insurance,123660.0,silver,utah,2 days left,0,0
1500,chevrolet,2017,clean vehicle,31234.0,black,michigan,2 days left,28402,1
doors,dodge,2018,clean vehicle,36767.0,gray,florida,16 hours left,6800,0
esv,cadillac,2015,clean vehicle,57932.0,gray,washington,21 hours left,33300,1
mpv,dodge,2018,clean vehicle,19420.0,white,florida,16 hours left,10780,0
cutaway,ford,2014,clean vehicle,204155.0,beige,pennsylvania,3 days left,6700,0
1500,chevrolet,2016,clean vehicle,93493.0,white,washington,21 hours left,20000,1
doors,chrysler,2018,clean vehicle,20942.0,gray,florida,17 hours left,6440,0
door,ford,2016,clean vehicle,86826.0,gray,south carolina,21 hours left,19900,1
door,chevrolet,2015,clean vehicle,45787.0,white,washington,21 hours left,37000,1
mpv,dodge,2018,clean vehicle,50765.0,red,florida,16 hours left,4040,0
explorer,ford,2016,clean vehicle,62774.0,black,south carolina,21 hours left,22300,1
door,chevrolet,2011,clean vehicle,76326.0,gray,washington,21 hours left,31200,1
mpv,dodge,2018,clean vehicle,39029.0,white,florida,16 hours left,4290,0
el,ford,2016,clean vehicle,72885.0,silver,south carolina,21 hours left,22800,1
door,cadillac,2016,clean vehicle,46467.0,white,michigan,20 hours left,19002,1
mpv,dodge,2018,clean vehicle,6743.0,gray,florida,16 hours left,4160,0
edge,ford,2016,clean vehicle,33514.0,white,south carolina,21 hours left,18500,0
series,bmw,2016,clean vehicle,39917.0,blue,michigan,2 days left,39000,1
doors,dodge,2018,clean vehicle,32504.0,black,florida,18 hours left,6060,0
door,ford,2016,clean vehicle,77638.0,white,south carolina,21 hours left,28800,1
series,bmw,2016,clean vehicle,31727.0,gray,michigan,2 days left,40000,1
doors,dodge,2018,clean vehicle,52966.0,silver,florida,16 hours left,6140,0
flex,ford,2016,clean vehicle,24157.0,gray,south carolina,21 hours left,21000,1
door,buick,2016,clean vehicle,51393.0,beige,michigan,20 hours left,20105,1
doors,dodge,2018,clean vehicle,35461.0,white,florida,16 hours left,6760,0
door,ford,2014,clean vehicle,47055.0,brown,pennsylvania,1 days left,25800,1
series,bmw,2016,clean vehicle,33110.0,black,michigan,2 days left,39000,1
mpv,dodge,2018,clean vehicle,39721.0,black,florida,16 hours left,5470,0
door,ford,2014,clean vehicle,75785.0,black,pennsylvania,21 hours left,14600,0
1500,chevrolet,2016,clean vehicle,33624.0,black,michigan,20 hours left,24502,1
door,ford,2017,clean vehicle,42289.0,white,texas,2 days left,15110,0
door,ford,2014,clean vehicle,79422.0,white,new york,21 hours left,7900,0
door,chevrolet,2016,clean vehicle,28844.0,blue,michigan,3 hours left,27305,1
door,ford,2017,clean vehicle,66582.0,white,texas,2 days left,15290,0
door,ford,2015,clean vehicle,61436.0,silver,south carolina,21 hours left,26500,1
door,chevrolet,2016,clean vehicle,58303.0,silver,michigan,20 hours left,25502,1
mpv,ford,2017,clean vehicle,55618.0,white,texas,2 days left,7320,0
van,chevrolet,2009,clean vehicle,261648.0,white,michigan,2 days left,3800,0
door,chevrolet,2016,clean vehicle,33045.0,white,michigan,20 hours left,24502,1
door,ford,2017,clean vehicle,40747.0,white,texas,2 days left,4140,0
pk,dodge,2002,clean vehicle,185460.0,black,michigan,2 days left,1400,0
srx,cadillac,2016,clean vehicle,26667.0,gray,michigan,2 days left,18402,0
door,ford,2017,clean vehicle,37176.0,white,texas,2 days left,4160,0
door,chrysler,2000,salvage insurance,231240.0,red,north carolina,3 days left,175,0
colorado,chevrolet,2016,clean vehicle,18006.0,brown,michigan,20 hours left,24503,1
door,ford,2017,clean vehicle,72445.0,white,texas,2 days left,15840,0
door,ford,2014,clean vehicle,123355.0,black,south carolina,21 hours left,20500,1
1500,chevrolet,2016,clean vehicle,44116.0,silver,michigan,32 minutes,21003,1
door,ford,2017,clean vehicle,60219.0,red,texas,2 days left,4200,0
door,ford,2011,clean vehicle,135077.0,red,georgia,21 hours left,17400,0
door,chevrolet,2016,clean vehicle,32058.0,black,michigan,2 days left,32001,1
mpv,ford,2017,clean vehicle,76858.0,white,texas,2 days left,0,0
cab,ford,2011,clean vehicle,309564.0,white,south carolina,21 hours left,15700,0
door,chevrolet,2016,clean vehicle,33928.0,white,michigan,2 days left,31009,1
wagon,ford,2017,clean vehicle,90618.0,white,texas,2 days left,3740,0
pickup,dodge,2001,clean vehicle,109360.0,white,georgia,21 hours left,5000,0
door,chevrolet,2016,clean vehicle,71809.0,white,michigan,20 hours left,31002,1
doors,ford,2017,clean vehicle,31563.0,gray,texas,2 days left,3160,0
pickup,dodge,2005,clean vehicle,219823.0,gray,south carolina,21 hours left,8600,0
malibu,chevrolet,2018,clean vehicle,42090.0,gray,texas,21 hours left,6000,0
door,ford,2017,clean vehicle,126523.0,white,texas,2 days left,12990,0
vehicl,chevrolet,2020,salvage insurance,7232.0,black,kentucky,3 days left,25,0
encore,buick,2017,clean vehicle,60171.0,black,texas,21 hours left,13200,0
wagon,ford,2017,clean vehicle,209915.0,white,texas,2 days left,4410,0
door,chrysler,2005,salvage insurance,151815.0,silver,massachusetts,3 days left,25,0
camaro,chevrolet,2020,clean vehicle,13826.0,green,georgia,3 days left,22500,1
mpv,ford,2017,clean vehicle,55854.0,white,texas,2 days left,7420,0
door,ford,2016,clean vehicle,45757.0,silver,arizona,20 hours left,13500,0
trax,chevrolet,2020,clean vehicle,16545.0,white,georgia,3 days left,15500,0
door,ford,2017,clean vehicle,112893.0,white,texas,2 days left,3540,0
door,ford,2016,clean vehicle,126802.0,no_color,florida,2 hours left,17000,0
tahoe,chevrolet,2020,clean vehicle,13303.0,white,georgia,3 days left,45500,1
door,ford,2017,clean vehicle,34061.0,silver,texas,2 days left,4130,0
door,ford,2015,clean vehicle,70251.0,white,arizona,14 hours left,15700,0
tahoe,chevrolet,2020,clean vehicle,13679.0,gray,georgia,3 days left,45500,1
doors,ford,2017,clean vehicle,42426.0,gray,texas,2 days left,4130,0
door,dodge,2012,clean vehicle,66452.0,black,pennsylvania,2 days left,15500,0
trax,chevrolet,2020,clean vehicle,18221.0,white,georgia,3 days left,16300,0
mpv,ford,2017,clean vehicle,41455.0,white,texas,2 days left,4530,0
door,dodge,2011,clean vehicle,35275.0,black,pennsylvania,2 days left,15600,0
tahoe,chevrolet,2020,clean vehicle,13885.0,white,georgia,3 days left,45500,1
door,ford,2017,clean vehicle,38815.0,gray,texas,2 days left,4100,0
door,dodge,2011,clean vehicle,162281.0,white,pennsylvania,2 days left,18200,0
door,chevrolet,2013,clean vehicle,56479.0,black,texas,21 hours left,10200,0
doors,ford,2017,clean vehicle,61027.0,black,texas,2 days left,4080,0
van,ford,2014,clean vehicle,178703.0,white,florida,2 hours left,5700,0
3500,chevrolet,2014,clean vehicle,173469.0,white,texas,21 hours left,10200,0
door,ford,2017,clean vehicle,37321.0,white,texas,2 days left,5000,0
door,ford,2014,clean vehicle,112789.0,white,florida,2 hours left,1700,0
door,bmw,2011,clean vehicle,80394.0,gray,texas,21 hours left,6200,0
door,ford,2016,clean vehicle,68142.0,white,texas,2 days left,3650,0
door,dodge,2014,clean vehicle,74203.0,white,arizona,1 days left,10500,0
2500,chevrolet,2018,clean vehicle,57604.0,white,georgia,6 days left,43500,1
van,dodge,2016,clean vehicle,87229.0,silver,texas,2 days left,4610,0
door,ford,2012,clean vehicle,90711.0,white,florida,1 days left,3450,0
suburban,chevrolet,2018,clean vehicle,11135.0,silver,georgia,3 days left,38500,1
mpv,ford,2016,clean vehicle,66781.0,silver,texas,2 days left,6810,0
cargo,ford,2011,clean vehicle,190994.0,white,florida,2 hours left,2900,0
2500,chevrolet,2018,clean vehicle,56007.0,white,georgia,6 days left,43500,1
mpv,ford,2016,clean vehicle,32486.0,white,texas,2 days left,4450,0
door,ford,2011,clean vehicle,195908.0,white,florida,2 hours left,5800,0
equinox,chevrolet,2018,clean vehicle,18020.0,silver,georgia,3 days left,16500,0
mpv,dodge,2016,clean vehicle,83262.0,white,texas,2 days left,4240,0
pickup,ford,2008,clean vehicle,62015.0,white,pennsylvania,1 days left,26500,1
equinox,chevrolet,2017,clean vehicle,36421.0,silver,georgia,3 days left,13700,0
door,ford,2016,clean vehicle,73321.0,white,texas,2 days left,8600,0
chassis,ford,2008,clean vehicle,132379.0,white,florida,2 days left,8000,0
equinox,chevrolet,2017,clean vehicle,28013.0,silver,georgia,3 days left,14200,0
mpv,ford,2016,clean vehicle,33291.0,silver,texas,2 days left,7040,0
chassis,ford,2005,clean vehicle,225236.0,no_color,florida,2 hours left,4700,0
door,chevrolet,2016,clean vehicle,43176.0,red,georgia,2 days left,30851,1
mpv,ford,2016,clean vehicle,36876.0,silver,texas,2 days left,4880,0
pickup,dodge,2006,clean vehicle,111782.0,silver,pennsylvania,3 days left,14500,0
door,chevrolet,2017,clean vehicle,110489.0,brown,nebraska,5 hours left,7600,0
door,ford,2016,clean vehicle,84035.0,white,texas,2 days left,13270,0
door,ford,2012,clean vehicle,131101.0,gray,arizona,20 hours left,12800,0
1500,chevrolet,2018,clean vehicle,52521.0,white,ontario,10 days left,33000,1
door,ford,2016,clean vehicle,101380.0,white,texas,2 days left,9280,0
van,ford,2003,clean vehicle,142027.0,white,florida,2 hours left,900,0
door,ford,2016,clean vehicle,111476.0,gray,texas,2 days left,7560,0
drw,ford,2011,clean vehicle,76897.0,white,pennsylvania,2 days left,19500,1
malibu,chevrolet,2019,clean vehicle,15780.0,white,washington,2 days left,17100,0
door,ford,2016,clean vehicle,31944.0,white,texas,2 days left,8020,0
fiesta,ford,2019,clean vehicle,18937.0,black,missouri,4 days left,10300,0
van,chevrolet,2019,clean vehicle,9706.0,white,washington,2 days left,22600,1
